Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
44,"1,000","0,000","0,001","-0,001","1,000","-0,001","0,001","-0,001","1,000","0,000","-0,002","-0,001","1,000","-0,003","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","-0,001","-0,001","1,000","0,000","0,001","-0,001"
45,"1,000","0,000","0,001","-0,001","1,000","-0,001","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,003","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,001","0,002","-0,001","1,000","-0,001","0,001","-0,001"
46,"1,000","0,000","0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","-0,002","-0,001","1,000","-0,002","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001"
47,"1,000","0,000","0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","-0,001","-0,001","1,000","-0,002","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,000","-0,001"
48,"1,000","0,000","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","-0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001"
49,"1,000","0,000","0,000","-0,001","1,000","-0,001","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,000","-0,001"
50,"1,000","0,000","0,000","-0,001","1,000","-0,001","0,001","-0,001","1,000","0,000","-0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001"
51,"1,000","0,002","0,003","-0,001","1,000","0,000","-0,002","-0,001","1,000","0,003","0,001","-0,001","1,000","-0,002","-0,003","-0,001","1,000","0,003","0,001","-0,001","1,000","0,002","-0,001","-0,001","1,000","0,002","-0,001","-0,001"
52,"1,000","0,001","0,000","-0,001","1,000","0,001","0,001","-0,001","1,000","0,003","-0,002","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001"
53,"1,000","-0,002","0,000","-0,001","1,000","0,000","0,004","-0,001","1,000","0,001","0,000","-0,001","1,000","0,001","0,002","-0,001","1,000","-0,002","-0,002","-0,001","1,000","-0,002","-0,001","-0,001","1,000","0,001","-0,002","-0,001"
54,"1,000","0,001","0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","-0,002","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,001","-0,002","-0,001","1,000","0,000","-0,002","-0,001","1,000","-0,001","-0,001","-0,001"
55,"1,000","0,002","-0,002","-0,001","1,000","-0,003","0,002","-0,001","1,000","0,003","-0,003","-0,001","1,000","0,000","0,002","-0,001","1,000","0,000","0,001","-0,001","1,000","0,001","0,001","-0,001","1,000","0,001","-0,003","-0,001"
56,"1,000","0,005","-0,001","-0,001","1,000","0,000","0,002","-0,001","1,000","0,006","-0,001","-0,001","1,000","-0,002","0,000","-0,001","1,000","0,003","0,002","-0,001","1,000","-0,001","-0,002","-0,001","1,000","0,001","0,000","-0,001"
57,"1,000","0,002","-0,001","-0,001","1,000","0,002","0,000","-0,001","1,000","0,004","0,001","-0,001","1,000","-0,005","-0,001","-0,001","1,000","0,001","0,000","-0,001","1,000","-0,002","0,001","-0,001","1,000","0,000","-0,003","-0,001"
58,"1,000","0,004","0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,003","-0,002","-0,001","1,000","-0,002","-0,001","-0,001","1,000","0,000","0,003","-0,001","1,000","0,001","0,001","-0,001","1,000","0,000","0,000","-0,001"
59,"1,000","0,002","-0,001","-0,001","1,000","0,001","-0,003","-0,001","1,000","0,001","0,001","-0,001","1,000","0,000","-0,003","-0,001","1,000","0,003","0,002","-0,001","1,000","0,001","0,004","-0,001","1,000","0,003","0,002","-0,001"
60,"1,000","-0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,002","-0,001","1,000","0,003","-0,004","-0,001","1,000","0,000","0,001","-0,001","1,000","0,002","0,001","-0,001","1,000","0,002","-0,001","-0,001"
61,"1,000","0,002","0,001","-0,001","1,000","0,000","-0,003","-0,001","1,000","0,004","-0,002","-0,001","1,000","0,000","-0,003","-0,001","1,000","-0,001","-0,001","-0,001","1,000","0,001","-0,002","-0,001","1,000","-0,001","-0,002","-0,001"
62,"1,000","0,000","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,001","0,001","-0,001","1,000","-0,001","-0,003","-0,001","1,000","0,002","0,000","-0,001"
63,"1,000","0,002","0,001","-0,001","1,000","-0,003","0,001","-0,001","1,000","-0,001","0,002","-0,001","1,000","0,002","-0,001","-0,001","1,000","0,004","0,001","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,001","-0,003","-0,001"
64,"1,000","-0,001","-0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","-0,001","-0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","0,000","0,002","-0,001","1,000","0,001","0,000","-0,001"
65,"1,000","0,001","0,002","-0,001","1,000","-0,001","-0,001","-0,001","1,000","-0,003","-0,002","-0,001","1,000","-0,002","-0,002","-0,001","1,000","0,002","0,003","-0,001","1,000","0,000","-0,001","-0,001","1,000","-0,002","-0,002","-0,001"
66,"1,000","-0,001","-0,001","-0,001","1,000","0,002","-0,001","-0,001","1,000","-0,001","-0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","-0,003","-0,001","-0,001","1,000","0,000","0,001","-0,001"
67,"1,000","-0,002","0,002","-0,001","1,000","-0,001","-0,001","-0,001","1,000","0,002","-0,002","-0,001","1,000","0,001","-0,002","-0,001","1,000","0,001","-0,002","-0,001","1,000","0,000","-0,003","-0,001","1,000","-0,002","-0,001","-0,001"
68,"1,000","-0,002","-0,001","-0,001","1,000","-0,002","0,001","-0,001","1,000","0,001","0,001","-0,001","1,000","-0,002","-0,002","-0,001","1,000","0,000","0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,001","-0,002","-0,001"
69,"1,000","-0,005","-0,001","-0,001","1,000","-0,003","-0,001","-0,001","1,000","-0,002","0,000","-0,001","1,000","-0,005","0,000","-0,001","1,000","0,003","0,000","-0,001","1,000","0,002","0,000","-0,001","1,000","-0,002","-0,001","-0,001"
70,"1,000","-0,002","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","-0,001","-0,001","1,000","-0,002","0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","-0,001","0,001","-0,001","1,000","0,001","-0,002","-0,001"
71,"1,000","-0,001","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","-0,001","-0,001","1,000","-0,002","0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","-0,001","0,001","-0,001","1,000","0,001","-0,002","-0,001"
72,"1,000","-0,001","-0,002","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","-0,001","-0,001","1,000","-0,002","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,001","-0,001","-0,001"
73,"1,000","-0,001","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,002","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001"
74,"1,000","-0,001","-0,002","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,002","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","0,001","-0,001","-0,001"
75,"1,000","0,000","-0,002","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,001","-0,001","-0,001"
76,"1,000","0,000","-0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001"
77,"1,000","0,000","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,000","-0,001"
78,"1,000","0,001","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001"
79,"1,000","0,001","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001"
80,"1,000","0,001","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001"
81,"1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001"
82,"1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,002","-0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001"
83,"1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","-0,001","0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001"
84,"1,000","0,001","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","0,002","-0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001"
85,"1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001"
86,"1,000","0,001","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001"
87,"1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001"
88,"1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001"
89,"1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001"
90,"1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001"
91,"1,000","0,000","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,001","0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,001","0,000","-0,001"
92,"1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001"
93,"1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","-0,001","-0,001","1,000","-0,001","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001"
94,"1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,000","-0,001","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","-0,001","-0,001","1,000","0,000","0,000","-0,001"
95,"1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","-0,001","0,001","-0,001","1,000","0,000","-0,001","-0,001","1,000","0,001","0,000","-0,001"
96,"1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,000","-0,001","-0,001","1,000","0,001","0,000","-0,001"
97,"1,000","0,001","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,001","0,001","-0,001","1,000","0,000","-0,001","-0,001","1,000","0,001","0,000","-0,001"
98,"1,000","0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","-0,001","0,000","-0,001","1,000","0,001","-0,001","-0,001"
99,"1,000","0,001","0,000","-0,001","1,000","-0,001","0,001","-0,001","1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001"
100,"1,000","0,001","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001"
101,"1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","0,000","-0,001","1,000","0,000","0,000","-0,001","1,000","0,000","0,001","-0,001","1,000","0,000","0,000","-0,001","1,000","0,001","-0,001","-0,001"
