frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,left_shoulder_presence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,right_shoulder_presence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,left_elbow_presence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,right_elbow_presence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,left_wrist_presence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,right_wrist_presence,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_hip_presence,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_hip_presence,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_knee_presence,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_knee_presence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,left_ankle_presence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,right_ankle_presence
0,0,0.155489344894886,-0.3789595663547516,-0.2784572541713714,0.9999959468841552,0.9999983310699464,-0.06544059291481966,-0.4595979154109955,-0.0026874728500843,0.999975085258484,0.9999949932098388,0.10644266828894612,-0.1589901596307754,-0.3048226833343506,0.9977887868881226,0.9999569654464722,-0.1376871228218078,-0.1575165688991546,-0.0134990224614739,0.8407889604568481,0.9999830722808838,-0.08970340415835382,0.0023921085521578,-0.2344855964183807,0.9964367151260376,0.9999953508377076,-0.2806467622518539,-0.0160268023610115,-0.1095888391137123,0.9449062347412108,0.999995231628418,0.07564986720681181,0.0184627659618854,-0.0517298281192779,0.99998939037323,0.9999992847442628,-0.07303211465477939,-0.0220396053045988,0.0532089211046695,0.9999891519546508,0.9999996423721312,-0.2106684491038322,0.2069021761417389,-0.2940818071365356,0.9951306581497192,0.9999961853027344,-0.35690419673919677,0.1008530035614967,-0.0942570865154266,0.9700957536697388,0.9999959468841552,-0.09618654772639275,0.5557039380073547,-0.1246741935610771,0.9902563095092772,0.9999668598175048,-0.24274845719337457,0.5163819193840027,0.0381786450743675,0.9625439643859864,0.9999922513961792
1,0,0.1554412364959717,-0.3789222240447998,-0.2771324217319488,0.9999959468841552,0.9999984502792358,-0.0716142527759075,-0.4597134590148926,-0.0004224453587085,0.9999759793281556,0.9999970197677612,0.10598460584878915,-0.1591376960277557,-0.3053104877471924,0.9978505969047546,0.9999732971191406,-0.13953397721052166,-0.1576144248247146,-0.0087478952482342,0.8481448292732239,0.9999884366989136,-0.08896695226430892,0.0010553790489211,-0.2392475605010986,0.9965943098068236,0.9999974966049194,-0.28523707389831543,-0.0143051026389002,-0.1034738421440124,0.9478942155838012,0.999997615814209,0.07617139667272566,0.0183989889919757,-0.0516980104148387,0.9999891519546508,0.9999992847442628,-0.07359655648469916,-0.0219787824898958,0.0531876124441623,0.9999890327453612,0.9999996423721312,-0.20270656645298005,0.2072940021753311,-0.2940372824668884,0.9947068095207214,0.9999959468841552,-0.3609203219413757,0.0943282023072242,-0.1016860678791999,0.9691694974899292,0.9999957084655762,-0.09389099851250647,0.5562375783920288,-0.1203627362847328,0.9894471764564514,0.9999598264694214,-0.25439142733812325,0.5105258226394653,0.0400177985429763,0.959298849105835,0.9999910593032836
2,0,0.15203031003475184,-0.377259612083435,-0.283735066652298,0.9999959468841552,0.9999983310699464,-0.07909855917096134,-0.457457572221756,-0.0046145343221724,0.9999765157699584,0.9999966621398926,0.10471796989440908,-0.158733457326889,-0.3103194236755371,0.9978864192962646,0.9999725818634032,-0.13940496146678927,-0.1554456502199173,-0.0085627622902393,0.8500640392303467,0.9999874830245972,-0.09152750745415686,0.0011812163284048,-0.2429696917533874,0.9966661930084229,0.999996781349182,-0.2885003477334976,-0.0100304055958986,-0.100523367524147,0.949119746685028,0.9999969005584716,0.0761911071836948,0.0183744318783283,-0.0517051629722118,0.9999882578849792,0.9999990463256836,-0.07362653613090513,-0.0219692084938287,0.0531935393810272,0.9999882578849792,0.9999994039535522,-0.20513067245483396,0.2072471678256988,-0.2940717935562134,0.9934056401252748,0.9999929666519164,-0.37187326848506924,0.0883530229330062,-0.1028956249356269,0.9642858505249025,0.9999922513961792,-0.09612513780593868,0.5562351942062378,-0.1174890473484993,0.9861372709274292,0.9999337196350098,-0.2686746388673782,0.5062359571456909,0.0419207513332366,0.949189305305481,0.9999828338623048
3,0,0.14827270805835718,-0.3743143081665039,-0.2878462672233581,0.9999959468841552,0.9999984502792358,-0.08257114142179485,-0.4548957645893097,-0.0058527374640107,0.9999774694442748,0.999997854232788,0.10142944529652595,-0.1570351421833038,-0.3136676847934723,0.9978689551353456,0.999976634979248,-0.13893312215805054,-0.153940200805664,-0.0085332067683339,0.8519507050514221,0.9999916553497314,-0.09450828582048415,0.0021712670568376,-0.2436207979917526,0.996624231338501,0.999996781349182,-0.289607709646225,-0.0067028035409748,-0.1005656272172927,0.9501789212226868,0.9999977350234984,0.07619193494319913,0.0182958617806434,-0.0517511256039142,0.9999876618385316,0.9999990463256836,-0.07363922297954552,-0.0219360198825597,0.0532358512282371,0.9999879002571106,0.9999995231628418,-0.2104396596550941,0.208088994026184,-0.2934503853321075,0.99143248796463,0.9999927282333374,-0.37740604579448694,0.0871654599905014,-0.1031296625733375,0.9567272067070008,0.999993085861206,-0.0976735316216945,0.5561755895614624,-0.1155551671981811,0.9812715649604796,0.9999284744262696,-0.2783663749694824,0.5054079294204712,0.0424290224909782,0.9345774054527284,0.9999822378158568
4,0,0.14723015725612634,-0.3707382678985595,-0.2947747111320495,0.9999959468841552,0.9999984502792358,-0.08294494450092313,-0.452957272529602,-0.0094315679743886,0.9999783039093018,0.9999977350234984,0.10091248899698252,-0.1558981984853744,-0.3209182322025299,0.9979053735733032,0.9999794960021972,-0.1375642701983451,-0.1522144526243209,-0.0106050996109843,0.8545738458633423,0.999991536140442,-0.09603638723492618,0.0023199412971735,-0.2478680312633514,0.9966897368431092,0.9999974966049194,-0.29110911786556243,-0.0018513372633606,-0.1025955155491828,0.9512548446655272,0.999997615814209,0.07621348127722737,0.0182566829025745,-0.0517958924174308,0.9999870657920836,0.999998927116394,-0.07370191961526869,-0.0219217836856842,0.0532819628715515,0.9999874234199524,0.9999995231628418,-0.21196627765893936,0.209789291024208,-0.2931535840034485,0.989406943321228,0.9999920129776,-0.38016443550586704,0.0871444046497345,-0.1030387803912162,0.9476751685142516,0.999991774559021,-0.09773397445678703,0.556056559085846,-0.1117199659347534,0.9754952788352966,0.9999232292175292,-0.2814271837472916,0.5040979981422424,0.0486919395625591,0.915934145450592,0.999980330467224
5,0,0.14539092481136323,-0.3701783716678619,-0.2959753572940826,0.9999960064888,0.9999985694885254,-0.08416941389441486,-0.4523000121116638,-0.0097109768539667,0.9999788999557496,0.9999974966049194,0.10045353323221205,-0.1554023474454879,-0.3225266337394714,0.9979528784751892,0.9999790191650392,-0.13712606579065317,-0.1516385823488235,-0.0104726664721965,0.8568881750106812,0.9999910593032836,-0.09654301702976227,0.0029002476949244,-0.2490423768758773,0.9967854022979736,0.9999977350234984,-0.2916314095258713,-0.0010527850827202,-0.1022332459688186,0.9524151086807252,0.9999977350234984,0.07621509581804273,0.0181873403489589,-0.052029799669981,0.9999863505363464,0.999998927116394,-0.0737125493586063,-0.0218807253986597,0.05351023375988,0.99998676776886,0.9999995231628418,-0.21170845925807955,0.2109281122684478,-0.2934948801994324,0.9883567094802856,0.999992847442627,-0.3840756893157959,0.0869667381048202,-0.1014398857951164,0.9412725567817688,0.9999921321868896,-0.09758396968245497,0.5570752024650574,-0.1174360886216163,0.97329443693161,0.9999284744262696,-0.2801388949155807,0.5033998489379883,0.049111358821392,0.9048483967781068,0.9999834299087524
6,0,0.14518541097640988,-0.3693562150001526,-0.2960129678249359,0.9999960064888,0.9999984502792358,-0.08431707471609115,-0.4516507685184479,-0.0099688973277807,0.9999794363975524,0.9999974966049194,0.10037497803568841,-0.1548415422439575,-0.3228476941585541,0.9979674816131592,0.9999781847000122,-0.13639326095581056,-0.1515635550022125,-0.0104339327663183,0.8586296439170837,0.9999908208847046,-0.09671672359108925,0.0029136810917407,-0.249488279223442,0.996843159198761,0.9999977350234984,-0.2915385365486145,-0.0011303424835205,-0.1022478267550468,0.9534045457839966,0.9999977350234984,0.07621854618191715,0.0181458797305822,-0.0520453341305255,0.9999858736991882,0.9999990463256836,-0.07372771948575968,-0.0218621753156185,0.0535234361886978,0.9999864101409912,0.9999995231628418,-0.21286425739526751,0.2123948782682418,-0.2926355302333832,0.9871423244476318,0.999994158744812,-0.3837097048759461,0.0865455120801925,-0.101774975657463,0.9361650943756104,0.9999939203262328,-0.09756139889359469,0.557668924331665,-0.1152254119515419,0.9707592129707336,0.9999436140060424,-0.2813641428947448,0.5026969909667969,0.0493661947548389,0.8948619365692139,0.999985933303833
7,0,0.14289464801549906,-0.3686244785785675,-0.2967363595962524,0.9999960064888,0.9999984502792358,-0.08521471023559571,-0.4511329233646393,-0.0098981009796261,0.9999799132347108,0.9999974966049194,0.09908974617719651,-0.1540669202804565,-0.3237338066101074,0.9979742169380188,0.9999792575836182,-0.13611171618103973,-0.1510201692581176,-0.0098279565572738,0.8592755198478699,0.9999912977218628,-0.09805901348590843,0.0034650380257517,-0.2497562021017074,0.9968522787094116,0.9999974966049194,-0.29193504154682154,-0.0009726142161525,-0.1008606627583503,0.9538376927375792,0.9999977350234984,0.07622983977198601,0.018072560429573,-0.0520965829491615,0.99998539686203,0.9999990463256836,-0.07375472411513327,-0.0218149032443761,0.0535726509988307,0.9999859929084778,0.9999995231628418,-0.21285870075225824,0.2129160910844802,-0.292804092168808,0.9857126474380492,0.9999927282333374,-0.3848238855600357,0.0866654142737388,-0.1014716178178787,0.9291186928749084,0.9999924898147584,-0.09756802916526787,0.5577343106269836,-0.1158193126320838,0.9672567844390868,0.9999276399612428,-0.28247511088848115,0.5027572512626648,0.0499026589095592,0.8825979828834534,0.9999818801879884
8,0,0.14278936684131616,-0.367977499961853,-0.2963199019432068,0.9999959468841552,0.9999982118606568,-0.0861207380890846,-0.4505443871021271,-0.0099905878305435,0.999980330467224,0.9999972581863404,0.09898606315255164,-0.1538446396589279,-0.3233413100242615,0.9979276657104492,0.999976634979248,-0.1362972162663936,-0.1509110331535339,-0.0098692132160067,0.8605782389640808,0.9999903440475464,-0.09834061563014976,0.0034741866402328,-0.2495393604040146,0.996819257736206,0.9999974966049194,-0.2934453010559082,0.000218796703848,-0.100906103849411,0.9542722702026368,0.99999737739563,0.07629301995038977,0.0180188119411468,-0.0520680584013462,0.9999850392341614,0.9999990463256836,-0.07385482564568516,-0.0217808187007904,0.0535478480160236,0.999985694885254,0.9999995231628418,-0.21322065293788908,0.2123684287071228,-0.2939948439598083,0.984237790107727,0.9999939203262328,-0.38530798554420476,0.0847861319780349,-0.1017744243144989,0.9224315881729126,0.999993085861206,-0.09835099130868903,0.5573940873146057,-0.1158877313137054,0.9640313386917114,0.9999450445175172,-0.2829243630170822,0.4995926022529602,0.0515100806951522,0.8703967928886414,0.9999847412109376
9,0,0.1428927466273307,-0.3677593469619751,-0.2959400415420532,0.9999959468841552,0.9999984502792358,-0.08742645904421804,-0.4499337673187256,-0.0107742473483085,0.9999808073043824,0.99999737739563,0.09871611520647999,-0.1532902717590332,-0.3229889571666717,0.9979010224342346,0.999976396560669,-0.1362817101180553,-0.1503231972455978,-0.011285800486803,0.8624374866485596,0.9999899864196776,-0.09838450327515601,0.0043791821226477,-0.2503841519355774,0.9968119263648988,0.99999737739563,-0.2933965533971787,0.0001139525411417,-0.1030811592936515,0.9550280570983888,0.9999974966049194,0.07638223767280579,0.01795045286417,-0.0520383827388286,0.9999846816062928,0.9999990463256836,-0.0739741705358028,-0.0217402521520853,0.0535249710083007,0.9999854564666748,0.9999995231628418,-0.2141255989670753,0.2137874066829681,-0.2896342575550079,0.9828059077262878,0.9999927282333374,-0.38460325896739955,0.0860054567456245,-0.1017089933156967,0.9183142185211182,0.9999921321868896,-0.09852733686566353,0.557715892791748,-0.1135803461074829,0.961159348487854,0.9999241828918456,-0.28467101752758023,0.5018322467803955,0.0514312908053398,0.8629584312438965,0.9999794960021972
