Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
0,"-1,727","-1,755","-1,154","0,511","-0,127","1,741","0,695","-0,289","1,038","0,132","-1,239","-1,092","-2,142","1,305","-0,768","-1,039","-0,313","0,134","0,164","0,451","-0,197"
1,"-1,236","-2,005","-1,039","0,386","-0,020","2,416","0,453","-0,266","1,409","0,116","-1,030","-0,721","-2,004","1,451","-0,931","-0,534","-0,169","-0,164","0,180","0,521","0,343"
2,"-0,799","-2,465","-0,995","0,240","-0,055","1,442","0,575","-0,048","1,796","-0,074","-0,890","-0,597","-1,834","0,740","-0,967","-0,648","-0,069","-0,334","0,299","0,369","0,222"
3,"-1,061","-2,512","-1,078","0,158","0,100","0,494","0,513","0,186","1,992","-0,202","-0,856","-0,412","-1,578","0,032","-1,067","-0,481","0,004","-0,140","0,297","0,030","0,155"
4,"-0,321","-1,883","-1,091","-0,127","0,083","0,026","0,328","0,505","2,293","-0,202","-0,803","-0,442","-0,932","-0,573","-0,927","-0,407","0,111","0,486","0,599","0,047","0,062"
5,"0,129","-1,730","-1,256","-0,169","0,005","-0,454","0,024","0,516","2,354","-0,076","-0,754","-0,604","-0,352","-0,898","-0,864","-0,332","0,313","1,037","1,014","-0,005","-0,357"
6,"0,242","-1,154","-1,002","-0,331","-0,193","-0,904","-0,282","0,572","2,342","-0,128","-0,981","-0,759","0,494","-1,425","-0,508","-0,204","0,641","1,648","0,814","-0,159","-0,909"
7,"0,473","-0,445","-0,706","-0,477","-0,301","-1,183","-0,466","0,486","1,987","-0,069","-0,950","-0,704","1,364","-1,369","0,025","0,307","0,783","2,134","0,436","-0,517","-1,319"
8,"0,882","0,403","-0,382","-0,265","-0,420","-1,554","-0,590","0,257","1,290","-0,071","-1,026","-0,591","1,566","-1,054","0,137","0,177","0,902","2,182","0,244","-0,721","-1,617"
9,"0,564","0,692","0,055","0,024","-0,511","-1,751","-0,650","0,008","1,035","0,098","-1,003","-0,176","1,883","-1,379","0,615","0,197","0,798","1,954","-0,368","-1,229","-1,697"
10,"0,629","1,451","0,486","0,092","-0,682","-1,667","-0,651","0,011","0,784","0,389","-0,658","0,062","2,278","-1,429","0,972","0,264","0,268","1,289","-0,417","-1,397","-1,289"
11,"0,851","1,597","0,730","0,057","-0,633","-1,362","-0,652","0,084","0,829","0,682","-0,609","0,397","2,756","-1,803","1,131","0,266","-0,179","0,628","-0,150","-1,021","-0,521"
12,"1,276","1,544","0,939","-0,045","-0,473","-1,131","-0,775","-0,015","0,415","0,797","-0,358","0,470","3,134","-2,085","1,039","0,057","-0,176","0,136","0,598","-0,511","-0,004"
13,"1,967","1,828","1,101","-0,497","-0,654","-0,690","-0,718","-0,254","-0,594","0,800","-0,441","0,447","3,797","-2,643","1,145","-0,011","-0,273","-0,576","1,046","-0,255","0,692"
14,"3,357","2,362","1,148","-0,490","-0,528","0,094","-0,356","-0,300","-1,337","0,942","-0,655","-0,056","4,060","-3,266","1,060","0,031","-0,385","-1,108","1,422","-0,101","1,018"
15,"3,522","1,530","1,190","-0,406","-0,432","1,064","-0,357","-0,429","-1,619","1,204","-0,784","-0,533","4,400","-3,163","1,052","0,311","-0,450","-1,575","0,990","-0,203","0,880"
16,"2,613","0,966","1,028","-0,372","-0,360","0,739","-0,295","-0,488","-1,606","1,339","-0,802","-0,937","4,578","-3,072","0,941","0,688","-0,369","-1,758","0,866","-0,491","0,783"
17,"3,888","1,058","0,576","-0,326","-0,316","-0,140","-0,229","-0,815","-1,403","1,332","-0,712","-0,778","4,803","-2,861","1,138","0,617","-0,344","-1,629","0,508","-0,237","1,064"
18,"4,765","1,209","0,359","-0,582","-0,392","-0,973","-0,291","-0,581","-1,208","1,441","-0,318","-0,576","5,403","-3,075","1,589","0,604","-0,459","-1,382","0,316","-0,137","0,782"
19,"4,900","1,582","0,304","-0,543","-0,668","-1,924","-0,535","-0,353","-0,760","1,359","0,110","-0,190","5,718","-3,463","1,645","0,622","-0,344","-0,846","0,370","-0,002","0,542"
20,"5,659","1,599","0,045","-0,680","-0,637","-2,103","-0,962","-0,039","-0,206","0,854","0,500","0,129","6,566","-4,020","2,181","0,540","-0,025","0,142","0,293","-0,207","0,021"
21,"6,168","1,520","-0,263","-0,558","-0,697","-2,104","-1,205","-0,087","-0,131","0,472","0,650","0,519","8,081","-5,194","3,184","0,697","0,389","1,158","0,407","-0,462","-0,252"
22,"7,017","1,719","-0,287","-0,680","-0,637","-2,103","-1,632","-0,309","-0,515","0,351","0,594","0,545","9,026","-5,272","4,231","0,709","0,723","1,675","0,776","-0,698","-0,178"
23,"7,658","2,321","-0,192","-0,741","-0,637","-2,098","-1,757","-0,332","-1,136","0,416","0,270","0,590","9,661","-5,749","4,660","0,970","0,532","1,540","0,961","-0,799","-0,115"
24,"8,139","2,290","-0,307","-0,768","-0,819","-1,694","-1,882","-0,197","-1,355","0,488","0,015","0,387","9,593","-5,346","4,644","1,179","0,169","1,382","0,964","-0,951","-0,013"
25,"8,757","2,617","-0,165","-0,820","-0,813","-0,885","-1,999","-0,107","-0,437","0,739","-0,283","0,355","9,271","-5,493","4,377","0,946","0,132","1,232","1,082","-0,883","-0,136"
26,"8,923","3,588","-0,347","-0,896","-0,604","-0,354","-1,934","0,507","1,360","0,737","-0,412","0,498","8,602","-6,370","3,664","0,737","0,171","1,570","0,898","-1,053","-0,163"
27,"8,276","3,310","-0,294","-0,620","-0,965","-0,691","-1,867","1,234","3,632","0,849","-0,449","0,804","7,267","-6,394","2,379","0,246","0,781","2,130","0,526","-1,274","-0,371"
28,"7,736","3,573","-0,036","-0,152","-1,112","-1,638","-0,883","1,908","6,163","0,723","-0,285","0,847","6,431","-6,774","1,400","-0,342","1,787","2,989","0,036","-1,258","-0,441"
29,"6,958","3,570","0,139","0,092","-1,039","-2,353","-0,262","1,315","6,803","0,475","-0,124","0,885","6,850","-5,617","1,606","-0,843","2,425","3,682","-0,390","-1,309","-0,394"
30,"6,674","3,302","0,740","0,492","-1,149","-2,680","0,349","-0,173","4,458","0,725","-0,103","0,674","6,201","-2,649","1,505","-0,548","1,969","3,214","-0,564","-1,189","-0,101"
31,"6,508","2,276","0,285","0,719","-0,584","-1,490","0,941","-0,436","1,197","0,728","-0,027","0,561","5,372","-1,624","1,313","-0,178","0,547","1,335","-0,424","-0,866","0,485"
32,"6,212","0,505","-0,002","0,850","-0,104","0,715","1,173","0,054","0,078","0,357","0,080","0,625","5,297","-1,306","1,284","0,353","-0,823","0,603","0,021","-0,677","1,080"
33,"5,715","0,839","-0,100","0,915","-0,124","2,883","1,301","0,102","1,069","-0,087","0,365","1,006","5,159","-0,470","1,073","0,489","-1,257","0,649","0,843","-0,165","2,035"
34,"5,124","1,061","-0,107","0,778","-0,347","3,427","1,192","0,076","3,080","-0,462","0,531","1,176","5,017","-0,557","0,875","0,856","-0,834","1,288","1,403","0,327","2,422"
35,"4,262","0,911","-0,117","0,529","-0,339","1,959","0,831","0,220","4,238","-0,354","0,447","1,649","4,857","-0,599","0,953","1,128","0,128","2,113","1,287","0,463","2,628"
36,"3,540","0,810","-0,330","0,370","-0,153","0,827","0,832","0,146","4,193","-0,354","0,182","1,798","4,126","0,270","0,590","1,358","0,888","2,782","1,296","0,448","2,932"
37,"2,869","1,109","-0,081","0,312","-0,200","0,158","0,764","0,130","3,069","-0,053","-0,284","2,214","2,841","-0,103","0,607","1,467","0,825","2,999","1,175","0,093","2,954"
38,"2,229","0,866","0,022","0,239","-0,232","0,727","0,633","0,103","1,635","0,062","-0,457","2,527","2,020","-0,067","0,561","1,734","0,368","2,921","1,237","-0,127","2,953"
39,"1,548","0,362","0,088","0,489","-0,106","1,491","0,572","0,060","1,457","-0,189","-0,744","2,888","1,639","-0,022","0,759","1,738","-0,041","3,091","1,467","-0,129","2,506"
40,"1,207","-0,340","0,177","0,431","-0,109","2,241","0,331","0,152","2,125","-0,800","-0,831","2,981","1,777","-0,408","1,167","1,639","-0,283","2,883","1,341","-0,231","2,358"
41,"0,601","-0,358","0,267","0,375","-0,039","2,296","0,397","-0,087","2,433","-1,114","-0,770","3,214","1,401","0,110","1,154","1,088","-0,218","2,854","1,030","-0,147","2,164"
42,"0,376","-0,554","0,283","0,673","0,010","2,200","0,641","-0,158","2,386","-0,992","-0,927","3,308","0,538","0,947","0,788","0,946","0,158","2,931","0,895","-0,065","1,745"
43,"-0,786","-0,125","0,353","0,617","-0,217","1,560","0,701","-0,228","2,089","-0,320","-0,892","3,246","0,350","0,536","0,990","1,162","-0,100","2,611","0,511","-0,169","1,165"
44,"-0,942","0,369","0,474","0,721","-0,363","0,645","0,575","-0,352","1,304","0,299","-0,735","2,904","0,413","1,000","0,798","1,629","-0,521","2,289","0,317","-0,272","0,799"
45,"-0,536","0,092","0,468","0,810","-0,302","0,255","0,756","-0,519","0,591","0,856","-0,792","2,679","0,396","1,218","0,546","1,703","-0,680","2,189","0,565","-0,254","0,927"
46,"-0,654","0,078","0,493","0,669","-0,163","0,741","0,815","-0,617","0,175","0,863","-0,510","2,310","0,571","1,072","0,540","1,360","-0,425","1,717","0,693","-0,118","1,125"
47,"-0,642","0,148","0,592","0,599","-0,066","1,351","0,875","-0,714","-0,241","0,802","-0,245","2,159","0,206","1,461","0,238","0,956","-0,221","1,279","0,702","-0,134","1,430"
48,"-0,611","0,204","0,774","0,371","-0,109","2,246","1,361","-0,765","-0,481","0,253","-0,149","2,081","-0,324","1,508","-0,304","0,635","-0,251","0,645","0,530","-0,116","1,790"
49,"-1,573","0,026","0,871","0,574","-0,131","2,480","1,422","-1,125","-1,211","-0,236","0,084","1,998","-0,769","2,100","-0,469","0,626","-0,441","0,013","0,226","-0,251","1,817"
50,"-2,516","0,377","0,742","1,019","-0,210","1,958","1,479","-1,031","-1,609","-0,351","0,045","1,805","-0,919","2,021","-0,439","0,613","-0,822","-0,467","-0,191","-0,267","2,134"
51,"-2,266","0,593","0,858","1,010","-0,216","1,154","1,175","-1,121","-1,712","0,093","-0,186","1,395","-0,977","2,029","-0,457","0,904","-1,191","-0,925","-0,187","-0,250","2,269"
52,"-2,185","0,755","0,733","0,948","-0,393","0,444","1,237","-1,050","-1,415","0,475","-0,389","1,035","-1,112","2,119","-0,399","1,134","-1,563","-1,387","0,057","-0,165","2,278"
53,"-1,929","0,529","0,636","0,939","-0,533","0,343","0,993","-1,039","-1,355","0,425","-0,434","0,708","-0,812","2,278","-0,459","1,225","-1,741","-1,706","0,659","-0,115","2,006"
54,"-1,798","0,254","0,513","0,900","-0,554","0,598","0,871","-0,939","-1,190","0,059","-0,441","0,696","-0,562","2,264","-0,238","0,636","-1,372","-1,355","1,252","-0,184","1,447"
55,"-1,757","0,155","0,352","0,839","-0,494","0,593","0,751","-0,957","-0,997","-0,126","-0,414","0,743","-0,179","1,923","0,030","0,751","-0,835","-0,677","1,049","-0,406","0,794"
56,"-1,514","-0,261","0,090","0,831","-0,560","-0,201","0,444","-0,944","-1,187","-0,184","-0,339","0,628","-0,084","1,889","-0,079","0,478","-0,665","-0,371","0,905","-0,612","0,055"
57,"-0,795","-0,025","0,058","0,645","-0,556","-0,930","0,444","-0,856","-1,083","0,193","-0,482","0,374","0,004","1,412","-0,159","0,398","-0,516","-0,185","0,893","-0,495","-0,318"
58,"-0,342","-0,246","0,007","0,392","-0,575","-1,029","0,322","-0,669","-0,813","0,570","-0,678","0,151","0,559","0,597","-0,032","0,399","-0,468","-0,223","0,941","-0,412","-0,742"
59,"0,151","-0,326","-0,074","-0,006","-0,646","-0,672","0,506","-0,712","-0,741","0,640","-0,797","-0,059","0,564","0,445","0,087","0,211","-0,485","-0,150","1,175","-0,346","-1,088"
60,"0,448","-0,292","-0,136","-0,109","-0,366","-0,461","0,872","-1,187","-1,444","0,335","-0,537","-0,219","0,659","0,769","-0,067","0,181","-0,342","-0,658","1,109","-0,448","-1,238"
61,"0,282","-0,601","-0,197","-0,099","-0,346","-0,341","1,052","-1,585","-2,604","0,222","-0,446","-0,555","0,729","0,694","0,085","0,011","-0,547","-1,606","0,677","-0,720","-1,410"
62,"-0,127","-0,733","-0,127","0,101","-0,498","-0,148","1,047","-1,792","-3,746","0,543","-0,385","-1,067","0,814","1,055","-0,022","0,373","-1,256","-2,882","0,316","-0,922","-1,263"
63,"-0,148","-0,649","0,117","0,057","-0,529","0,047","1,045","-1,873","-4,353","0,437","-0,490","-1,502","0,782","0,838","-0,016","0,686","-1,911","-3,502","0,269","-0,836","-0,805"
64,"0,239","-0,792","0,094","0,160","-0,512","0,531","0,736","-1,667","-4,526","0,692","-0,689","-1,729","0,695","0,507","-0,090","0,695","-2,034","-3,559","0,587","-0,310","-0,360"
65,"0,448","-1,194","-0,024","0,106","-0,325","1,312","0,801","-1,558","-3,800","0,441","-0,603","-1,578","0,277","0,752","-0,292","0,623","-1,466","-2,846","1,266","-0,105","-0,077"
66,"-0,276","-1,345","0,024","0,213","-0,177","1,837","0,990","-1,222","-2,126","-0,053","-0,576","-1,405","-0,488","0,451","-0,455","0,453","-0,826","-1,652","1,762","-0,070","0,179"
67,"-0,473","-1,231","0,044","0,040","-0,334","1,257","1,060","-1,310","-0,915","-0,310","-0,347","-1,124","-1,156","0,710","-0,878","0,009","-0,377","-0,804","1,828","-0,103","0,346"
68,"-0,517","-1,476","-0,303","0,255","-0,263","0,917","1,305","-1,108","-0,337","-0,502","-0,072","-1,008","-1,928","1,306","-1,429","-0,200","-0,338","-0,465","1,650","-0,001","0,503"
69,"-0,845","-1,869","0,017","0,200","-0,313","0,992","1,487","-0,959","-0,248","-0,380","-0,016","-1,034","-3,193","1,392","-2,079","-0,483","-0,682","-0,611","1,100","0,049","0,486"
70,"-0,823","-1,475","0,036","0,264","-0,554","1,025","1,488","-0,773","0,272","-0,010","0,037","-1,188","-4,094","1,805","-2,515","-0,056","-0,894","-0,476","1,330","-0,122","0,006"
71,"-0,523","-1,935","0,022","0,118","-0,486","1,461","1,675","-0,648","1,057","0,367","-0,266","-1,352","-4,924","2,144","-2,799","0,179","-0,991","-0,298","1,620","-0,292","-0,476"
72,"-0,392","-2,329","-0,166","0,204","-0,317","1,736","1,921","-0,592","1,544","0,179","-0,368","-1,161","-5,004","1,540","-2,815","0,209","-0,580","-0,074","1,613","-0,598","-0,711"
73,"-1,248","-2,444","-0,127","0,266","-0,200","2,456","2,165","-0,663","1,497","-0,306","-0,567","-1,140","-5,476","0,955","-3,008","0,032","-0,035","0,412","1,739","-0,665","-0,596"
74,"-1,957","-2,475","-0,241","0,303","-0,132","2,875","2,345","-0,424","1,440","-0,437","-0,661","-0,812","-7,001","1,450","-3,876","0,042","0,480","0,863","1,505","-0,376","-0,269"
75,"-2,569","-2,408","-0,135","0,367","0,058","2,901","2,650","-0,434","1,379","-0,687","-0,629","-0,631","-8,066","2,238","-4,639","-0,105","0,617","1,130","1,210","-0,138","0,094"
76,"-2,932","-2,603","-0,177","0,548","-0,119","2,170","2,527","-0,405","1,247","-0,699","-0,586","-0,306","-7,494","1,921","-4,348","0,160","0,293","1,024","1,095","-0,002","0,300"
77,"-2,582","-2,782","0,206","0,586","-0,038","1,905","2,284","-0,452","1,322","-0,645","-0,335","-0,234","-7,337","2,177","-4,123","0,607","-0,252","1,034","1,044","0,151","0,640"
78,"-2,429","-3,022","-0,095","0,674","-0,050","2,210","1,796","-0,269","1,593","-0,595","-0,131","0,003","-6,071","1,734","-3,429","1,095","-0,463","1,173","1,115","0,000","0,960"
79,"-1,776","-1,992","0,296","0,388","-0,261","2,455","1,553","-0,187","1,951","-0,545","0,126","0,210","-5,182","1,449","-2,704","1,331","-0,512","1,314","1,190","-0,133","1,415"
80,"-1,895","-1,104","0,209","0,340","-0,422","2,609","1,434","-0,338","2,112","-0,505","0,343","0,720","-4,509","1,397","-2,206","1,250","-0,410","1,537","1,259","-0,014","1,700"
81,"-1,916","-1,259","0,321","0,357","-0,319","2,095","1,250","-0,222","2,085","-0,338","0,397","1,187","-3,949","1,239","-1,807","0,892","-0,100","2,115","1,322","-0,284","1,733"
82,"-1,691","-0,943","0,370","0,254","-0,336","1,611","1,128","-0,108","2,309","-0,047","0,317","1,665","-3,287","0,773","-1,459","0,134","0,100","2,348","1,326","-0,486","1,869"
83,"-1,529","-0,022","0,449","0,262","-0,434","1,006","1,312","-0,049","2,546","0,360","0,381","2,277","-2,579","0,100","-0,940","0,552","0,010","2,540","1,149","-0,435","2,060"
84,"-1,129","-0,215","0,460","0,133","-0,694","0,935","1,068","-0,227","2,338","0,423","0,087","2,375","-2,034","0,038","-0,854","0,560","-0,113","2,482","1,141","-0,301","1,823"
85,"-0,486","-0,345","0,470","-0,041","-0,493","1,042","0,885","-0,257","2,220","0,244","-0,029","2,293","-1,526","-0,264","-0,354","0,691","-0,184","2,396","1,317","-0,471","1,564"
86,"0,011","-0,017","0,325","-0,015","-0,445","1,342","1,006","-0,340","1,864","0,012","-0,237","2,050","-0,999","-0,282","0,007","1,034","-0,476","2,037","1,249","-0,387","1,363"
87,"0,227","-0,145","0,389","-0,080","-0,454","1,287","0,820","-0,294","1,540","-0,281","-0,445","1,805","-0,159","-0,565","0,486","0,945","-0,517","1,592","0,635","-0,490","1,230"
88,"0,748","0,443","0,508","-0,138","-0,561","0,627","0,819","-0,336","1,362","-0,272","-0,459","1,533","0,197","-0,651","0,550","0,824","-0,474","1,545","0,320","-0,643","0,902"
89,"1,251","0,568","0,281","0,190","-0,630","0,176","0,758","-0,378","1,184","-0,277","-0,292","1,579","0,762","-1,052","0,827","0,675","-0,155","1,746","-0,356","-0,780","0,720"
90,"0,986","0,351","0,393","0,231","-0,730","-0,059","0,821","-0,150","1,882","0,026","-0,310","1,672","0,509","-0,916","0,667","0,722","-0,040","1,893","-0,788","-0,832","0,547"
91,"1,251","0,807","0,412","0,297","-0,720","-0,005","0,517","-0,156","2,135","0,305","0,290","2,115","1,318","-1,243","0,624","0,603","-0,177","1,912","-0,292","-0,932","0,820"
92,"1,426","0,538","0,505","0,389","-0,722","0,360","0,457","-0,304","2,045","0,292","0,576","2,374","1,893","-1,324","0,809","0,732","-0,068","1,760","0,034","-0,675","1,520"
93,"1,723","0,213","0,247","0,451","-0,485","1,060","0,209","-0,528","0,846","0,290","0,766","2,337","2,313","-1,241","1,147","0,954","-0,316","1,354","0,717","-0,402","1,904"
94,"1,807","0,240","0,367","0,256","-0,517","1,640","0,263","-1,036","-1,039","0,296","0,570","2,238","2,877","-1,551","1,666","0,474","-0,867","0,650","1,039","-0,079","2,485"
95,"1,770","0,269","0,201","0,328","-0,558","1,764","0,319","-1,257","-2,241","0,308","0,473","1,942","3,260","-1,533","1,890","0,520","-1,378","-0,581","0,858","0,040","2,558"
96,"2,210","0,337","0,248","0,348","-0,756","1,299","0,500","-1,410","-2,894","0,138","0,396","1,558","3,322","-1,335","1,984","0,576","-1,603","-1,255","0,604","-0,114","2,228"
97,"1,835","0,192","0,173","0,461","-0,763","0,484","0,378","-1,600","-3,162","0,145","0,200","1,459","3,772","-1,362","2,180","0,418","-1,475","-1,686","0,284","-0,404","1,697"
98,"1,994","0,107","-0,013","0,468","-0,740","-0,140","0,257","-1,748","-3,252","0,035","-0,217","1,339","4,197","-1,523","2,395","0,805","-1,470","-1,964","0,455","-0,591","1,304"
99,"2,060","0,029","-0,041","0,545","-0,711","0,034","0,072","-1,876","-3,785","0,102","-0,306","1,182","4,543","-1,571","2,507","1,141","-1,495","-2,379","0,449","-0,727","1,101"
100,"2,285","0,105","-0,124","0,509","-0,602","0,330","0,070","-1,901","-4,155","0,229","-0,045","0,900","5,035","-1,776","2,693","1,276","-1,652","-2,476","0,682","-0,576","0,772"
101,"2,344","0,112","-0,136","0,507","-0,852","0,308","0,010","-1,975","-4,200","-0,013","0,080","0,749","5,485","-1,804","2,889","1,097","-1,792","-2,460","1,049","-0,322","0,811"
102,"2,635","0,230","-0,181","0,415","-0,911","-0,046","0,132","-1,886","-4,096","-0,126","0,117","0,443","6,223","-2,230","3,222","1,263","-1,767","-2,229","0,802","-0,475","0,700"
103,"2,816","0,420","-0,413","0,342","-0,810","-0,180","0,012","-1,863","-3,725","-0,482","0,097","0,159","6,768","-2,558","3,594","1,004","-1,758","-2,028","1,032","-0,425","0,219"
104,"3,431","0,643","-0,648","0,322","-0,848","-0,420","0,135","-1,574","-3,042","-0,475","0,060","-0,030","7,011","-2,483","3,273","0,664","-1,647","-1,603","1,212","-0,544","0,147"
105,"3,634","0,325","-0,750","0,239","-0,827","-0,664","0,261","-1,292","-1,856","-0,595","0,134","-0,147","6,982","-2,198","2,888","0,074","-1,279","-1,251","1,209","-0,612","0,045"
106,"4,031","0,387","-0,919","0,051","-0,776","-0,718","0,447","-1,065","-0,908","-0,286","0,027","-0,213","6,665","-2,231","2,454","-0,400","-0,964","-0,768","1,018","-0,732","-0,236"
107,"4,371","1,089","-1,008","0,218","-0,866","-0,904","0,574","-0,885","0,114","-0,342","0,019","-0,351","6,438","-2,413","2,077","-0,555","-0,427","-0,586","0,890","-0,952","-0,451"
108,"4,665","0,834","-0,940","0,244","-0,817","-0,604","0,574","-0,626","0,679","-0,148","-0,074","-0,641","6,478","-3,185","2,217","-0,322","-0,342","-0,474","0,700","-0,953","-0,665"
109,"4,140","0,315","-0,732","0,328","-0,959","-0,341","0,512","-0,406","0,816","-0,083","-0,080","-0,775","6,015","-3,448","1,932","-0,074","-0,371","-0,504","0,637","-1,072","-0,730"
110,"4,228","-0,270","-0,629","0,348","-0,860","-0,110","0,024","-0,005","1,475","-0,263","-0,113","-0,834","6,124","-4,715","1,846","-0,093","-0,219","-0,314","0,764","-0,970","-0,582"
111,"3,728","-0,345","-0,664","0,395","-0,772","0,429","0,087","0,468","2,678","-0,694","-0,061","-0,741","5,422","-6,250","1,952","-0,059","0,142","0,731","0,712","-0,766","-0,277"
112,"3,325","-0,202","-0,413","0,096","-0,702","0,506","0,277","0,804","4,352","-1,008","0,106","-0,569","4,932","-6,524","1,748","-0,234","0,820","1,972","1,026","-0,392","0,050"
113,"3,150","-0,835","-0,394","0,106","-0,622","0,616","0,528","0,721","5,311","-1,080","0,148","-0,246","4,969","-6,458","1,862","-0,394","1,385","3,070","1,284","-0,306","0,499"
114,"2,794","-0,876","-0,321","-0,107","-0,503","0,987","0,648","0,291","4,284","-1,028","0,216","-0,001","4,893","-5,598","2,272","-0,186","1,563","3,496","1,291","-0,220","0,735"
115,"2,447","-0,711","-0,393","-0,146","-0,464","1,232","0,763","0,204","3,114","-0,981","0,025","0,529","4,509","-5,073","2,487","-0,044","1,187","3,419","1,418","-0,473","0,901"
116,"1,557","-1,117","0,232","-0,473","-0,515","1,703","0,576","0,225","2,421","-0,864","-0,019","0,699","4,639","-4,204","2,464","0,204","0,882","3,530","1,548","-0,607","1,135"
117,"0,711","-1,690","0,368","-0,699","-0,606","1,923","0,576","0,138","2,316","-0,805","-0,306","0,934","2,643","-2,891","1,407","0,023","0,646","3,622","1,796","-0,421","1,296"
118,"0,377","-1,336","0,461","-0,748","-0,469","2,773","0,640","0,293","2,968","-0,875","-0,559","1,354","0,845","-2,718","1,046","-0,327","0,833","4,142","1,851","-0,337","1,091"
119,"-1,254","-1,404","0,415","-0,663","-0,240","3,039","0,579","0,768","3,921","-1,184","-0,983","1,720","-0,303","-2,852","1,141","-0,622","1,288","4,609","1,595","-0,389","0,693"
120,"-2,291","-1,708","0,686","-0,985","-0,265","2,141","0,342","1,159","5,584","-1,304","-1,334","1,842","-2,014","-3,064","0,942","-0,350","1,973","5,577","1,400","-0,662","0,294"
121,"-2,722","-1,213","0,691","-1,115","-0,271","1,347","0,162","1,294","6,430","-0,990","-1,767","1,820","-2,342","-2,252","0,709","-0,236","2,415","6,331","1,341","-0,628","0,346"
122,"-4,796","-1,160","0,991","-1,228","-0,131","1,458","0,042","1,479","6,951","-0,678","-1,798","1,640","-3,468","-2,490","0,890","-0,138","2,380","6,682","1,091","-0,459","0,167"
123,"-7,632","-1,891","1,416","-1,316","-0,059","1,144","-0,262","1,777","7,696","-0,543","-1,975","1,326","-4,826","-1,775","0,201","-0,007","2,575","7,322","0,957","-0,732","-0,234"
124,"-7,898","-1,989","1,594","-1,322","-0,008","1,075","-0,383","1,947","8,157","-0,721","-1,773","1,064","-5,269","-1,571","0,261","0,048","2,833","8,138","0,815","-0,819","-0,906"
125,"-7,948","-1,552","1,592","-1,484","-0,146","0,615","-0,198","1,830","8,184","-1,094","-1,371","1,032","-5,144","-1,358","-0,035","-0,542","3,201","8,489","0,183","-0,856","-1,597"
126,"-7,364","-1,026","1,372","-1,299","-0,193","-0,075","-0,262","1,850","7,741","-1,708","-1,163","1,028","-5,712","-1,193","-0,207","-0,829","3,171","8,249","-0,016","-1,146","-2,132"
127,"-6,848","-0,354","1,507","-1,397","0,036","0,206","-0,206","1,671","6,718","-1,945","-1,045","0,741","-5,794","-0,335","-0,580","-0,602","2,933","7,759","-0,338","-1,385","-2,696"
128,"-6,505","0,094","1,597","-1,324","-0,125","0,350","-0,331","1,228","5,382","-2,001","-1,106","0,633","-6,337","-0,395","-0,727","-0,198","2,378","6,677","-0,773","-1,505","-2,970"
129,"-5,371","0,312","2,051","-1,073","-0,357","0,428","-0,214","1,022","4,240","-2,051","-1,257","0,366","-6,673","0,178","-1,638","0,024","1,864","5,546","-0,958","-2,013","-3,064"
130,"-4,958","0,189","2,160","-0,817","-0,281","1,261","-0,277","0,881","3,647","-2,057","-1,220","0,555","-6,788","0,818","-2,005","-0,263","1,616","4,541","-1,005","-1,927","-2,606"
131,"-5,436","-0,154","2,388","-0,501","0,152","2,775","-0,093","0,649","3,451","-1,561","-1,119","0,239","-7,714","1,457","-2,465","-0,396","1,555","3,872","-0,984","-1,755","-1,914"
132,"-5,833","-0,813","2,228","-0,390","0,236","4,054","-0,154","0,547","3,287","-1,010","-0,926","0,083","-7,904","2,416","-2,861","-0,610","1,053","2,843","-0,700","-1,141","-0,571"
133,"-5,008","-0,873","1,941","-0,302","0,164","4,368","-0,280","0,408","2,443","-0,464","-0,674","0,034","-7,171","2,141","-2,648","-0,491","0,335","1,550","-0,354","-0,442","0,786"
134,"-4,562","-0,705","1,466","-0,422","0,237","3,684","-0,529","0,040","0,902","0,382","-0,303","0,071","-6,363","2,264","-2,493","-0,001","-0,312","0,160","-0,266","0,475","1,711"
135,"-3,843","-0,948","1,171","-0,470","-0,027","2,430","-0,779","-0,111","-0,252","1,102","0,073","0,240","-5,338","1,798","-2,068","0,453","-0,837","-0,784","-0,191","0,646","2,181"
136,"-3,244","-0,661","0,592","-0,683","0,049","1,382","-0,904","-0,046","-0,768","1,468","0,186","0,192","-4,635","1,542","-1,954","0,556","-0,947","-1,311","-0,371","0,714","2,288"
137,"-2,922","-0,845","0,532","-0,761","-0,097","0,482","-0,779","-0,342","-0,699","1,475","0,202","-0,027","-4,355","2,133","-1,963","-0,199","-0,556","-1,230","-0,383","0,357","1,867"
138,"-2,529","-1,007","-0,079","-0,846","0,105","0,209","-0,655","-0,228","-0,225","1,475","0,255","-0,057","-3,777","1,572","-1,795","-0,458","-0,222","-1,209","-0,885","0,101","1,392"
